RecordID,MGMT_LEVEL,Tenure..days.,File,MONTH1,MONTH2,MONTH3,MONTH4,MONTH5,MONTH6,Score_P,Score_T,Flag
2287,0,2498,C,0.931615768,0.94717498,0.94220242,0.938856524,0.934487212,0.935538699,0.82,0.18,All good
2288,0,2687,C,0.941181108,0.947601289,0.9488059,0.950827426,0.947852206,0.946203808,0.98,0.02,P
2289,0,2644,C,0.912809675,0.923065699,0.922834107,0.926081533,0.926332278,0.921825064,0.72,0.28,All good
2290,0,2666,C,0.914059536,0.9217134,0.922490536,0.918938676,0.923841633,0.923553041,0.56,0.44,All good
2291,0,2568,C,0.913189735,0.920342316,0.916895614,0.919465052,0.91763379,0.920546863,0.32,0.68,All good
2292,1,2694,C,0.894643812,0.907461517,0.906941871,0.901187031,0.908795965,0.910083501,0.1,0.9,All good
2293,0,2663,C,0.94067923,0.950182708,0.949761514,0.946129784,0.946197023,0.946780011,0.96,0.04,P
2294,0,2637,C,0.933388491,0.943537491,0.944220129,0.936346511,0.934336509,0.934622388,0.8,0.2,All good
2295,0,2646,C,0.918402896,0.928577774,0.925939215,0.930691448,0.926529939,0.9249532,0.74,0.26,All good
2296,1,2526,C,0.872584966,0.887517314,0.895039752,0.890135389,0.89679871,0.898220653,0.32,0.68,All good
2297,0,2512,C,0.935866763,0.94408257,0.942712899,0.947755342,0.95191817,0.946504946,0.96,0.04,P
2298,0,2820,C,0.933521076,0.93972588,0.941051363,0.944069766,0.942356689,0.945457156,0.86,0.14,All good
2299,0,2457,C,0.935277151,0.940322377,0.943043232,0.935599966,0.938075323,0.941399208,0.76,0.24,All good
2300,0,2519,C,0.934805539,0.942731094,0.944527624,0.942349209,0.940023678,0.9432005,0.88,0.12,All good
2302,0,2666,C,0.939283226,0.944577872,0.949282274,0.944712595,0.947193202,0.943892829,0.94,0.06,All good
2303,0,3658,C,0.929388369,0.938884321,0.937123851,0.937596453,0.940161086,0.943562193,0.82,0.18,All good
2304,0,2673,C,0.933940972,0.940118594,0.94093165,0.939235787,0.93859416,0.938489631,0.94,0.06,All good
2305,1,2656,C,0.887651566,0.895267867,0.899500979,0.892399756,0.910349012,0.90657866,0.2,0.8,All good
2306,0,2526,C,0.923763777,0.929099635,0.932262346,0.937414656,0.937582833,0.938554745,0.74,0.26,All good
2307,2,8746,C,0.90272919,0.91049237,0.909987784,0.910743457,0.908699495,0.914166985,0.04,0.96,T
2308,1,2687,C,0.892136896,0.903353798,0.901335619,0.892945627,0.898810136,0.897998514,0.28,0.72,All good
2309,0,2603,C,0.935633214,0.941551756,0.945261018,0.940269026,0.94031854,0.941657326,0.9,0.1,All good
2310,0,2547,C,0.913780951,0.919600295,0.923597976,0.921937243,0.922015743,0.918118439,0.56,0.44,All good
2312,0,2645,C,0.927451349,0.932451837,0.93304277,0.921986881,0.919835628,0.920631321,0.62,0.38,All good
2313,0,3195,C,0.939696379,0.947086937,0.94875215,0.945018369,0.947644861,0.948410939,0.98,0.02,P
2314,0,2694,C,0.937338575,0.945607128,0.942847071,0.941919481,0.939668735,0.939116612,0.92,0.08,All good
2315,0,2568,C,0.924240652,0.930087201,0.931309634,0.93515592,0.932735677,0.932195679,0.62,0.38,All good
2317,0,5330,C,0.940717047,0.945374723,0.948459324,0.946709004,0.947624061,0.947640193,0.96,0.04,P
2318,0,3633,C,0.88821722,0.899220907,0.89693811,0.912276581,0.915501415,0.911791096,0.04,0.96,T
2319,0,6282,C,0.929206212,0.935399255,0.935407086,0.938073078,0.935303388,0.935986493,0.7,0.3,All good
2320,0,4924,C,0.946472306,0.953513545,0.952526421,0.940840915,0.942407331,0.94353414,0.8,0.2,All good
2321,0,6679,C,0.958402881,0.963784805,0.965244459,0.965985916,0.96456385,0.963680045,0.66,0.34,All good
2322,0,5792,C,0.938115338,0.935743694,0.940507769,0.942497084,0.945760104,0.941952388,0.38,0.62,All good
2323,0,5134,C,0.942848988,0.947535072,0.948500438,0.946293502,0.947730034,0.947753177,0.94,0.06,All good
2324,0,5596,C,0.957420678,0.96761679,0.963733899,0.964011164,0.966227995,0.965547643,0.76,0.24,All good
2325,0,5134,C,0.928091517,0.938980819,0.937932657,0.956409785,0.951146067,0.949970123,0.78,0.22,All good
2326,0,6785,C,0.962632462,0.963808884,0.964572045,0.964682296,0.965010228,0.96547275,0.64,0.36,All good
2327,0,6419,C,0.947455215,0.953024255,0.951376197,0.954807732,0.957705885,0.954461026,1,0,P
2329,0,5401,C,0.949890337,0.957649871,0.952603387,0.960343314,0.959284365,0.959472537,1,0,P
2330,0,4785,C,0.930764333,0.936684117,0.934686752,0.929583195,0.931543148,0.929258438,0.82,0.18,All good
2331,1,8360,C,0.882611449,0.892379796,0.894142218,0.89268321,0.892750331,0.89835771,0.4,0.6,All good
2332,0,4995,C,0.940626006,0.943725183,0.947491303,0.951083255,0.950080044,0.947187758,0.98,0.02,P
2333,0,4882,C,0.916879671,0.925203465,0.923892023,0.944509413,0.942675706,0.939441034,0.68,0.32,All good
2335,0,5093,C,0.926082109,0.934568445,0.936978405,0.936143339,0.933894849,0.93351083,0.64,0.36,All good
2336,0,5043,C,0.917816637,0.924225333,0.923178442,0.942496623,0.946538041,0.94507967,0.48,0.52,All good
2337,0,5134,C,0.948134082,0.953885937,0.95225897,0.955515284,0.951641529,0.950747099,0.98,0.02,P
2339,0,5166,C,0.950412491,0.955278278,0.959018433,0.956680214,0.957406076,0.959110195,1,0,P
2340,0,6688,C,0.93147241,0.93837779,0.939016695,0.948372959,0.946461582,0.946323839,0.76,0.24,All good
2342,0,7206,C,0.957088295,0.962991869,0.966527796,0.96317551,0.962492083,0.963586319,0.78,0.22,All good
